num_imm,type_voie_imm,nom_voie_imm,city
7,place de la,bastille,Paris
4,rue de la,bastille,Paris
8,rue de la,bastille,Paris
42,rue,bayen,Paris
4,rue de l',abbé-grégoire,Paris
1,rue de,beaujolais,Paris
2,rue de,beaujolais,Paris
3,rue de,beaujolais,Paris
5,rue de,beaujolais,Paris
6,rue,béranger,Paris
8,rue,béranger,Paris
10,rue,béranger,Paris
12,rue,béranger,Paris
14,rue,béranger,Paris
19,rue des,bons-enfants,Paris
21,rue des,bons-enfants,Paris
25,rue de l',adjudant-reau,Paris
26,rue de l',adjudant-reau,Paris
28,pl.,adolphe-chérioux,Paris
30,rue,adolphe-jullien,Paris
31,rue,adolphe-jullien,Paris
32,rue,adolphe-jullien,Paris
14,passage de,clichy,Paris
16,passage de,clichy,Paris
18,passage de,clichy,Paris
1,rue du,colonel-driant,Paris
1,rue du,commerce,Paris
3,rue du,commerce,Paris
5,rue du,commerce,Paris
7,rue du,commerce,Paris
9,rue du,commerce,Paris
21,rue,croix-des-petits-champs,Paris
43,rue,croix-des-petits-champs,Paris
1,rue,dalayrac,Paris
1,avenue,delecourt,Paris
2,boulevard de,denain,Paris
4,boulevard de,denain,Paris
6,boulevard de,denain,Paris
8,boulevard de,denain,Paris
10,boulevard de,denain,Paris
2,avenue d',eylau,Paris
4,avenue d',eylau,Paris
8,avenue d',eylau,Paris
10,avenue d',eylau,Paris
176,boulevard de la,gare,Paris
178,boulevard de la,gare,Paris
182,cité,annibal,Paris
11,rue,georges-berger,Paris
26,rue de la,glacière,Paris
15,rue,godefroy,Paris
17,rue,godefroy,Paris
19,rue,godefroy,Paris
130,boulevard de,grenelle,Paris
132,boulevard de,grenelle,Paris
136,rue,ambroise-thomas,Paris
138,rue,ambroise-thomas,Paris
9,place d',italie,Paris
11,place d',italie,Paris
2,rue,jean-baptiste-dumas,Paris
4,rue,jean-baptiste-dumas,Paris
11,rue,jean-dollfus,Paris
129,rue,la fayette,Paris
131,rue,la fayette,Paris
135,avenue,ambroise-rendu,Paris
137,avenue,ambroise-rendu,Paris
139,avenue,ambroise-rendu,Paris
1,rue de,la feuillade,Paris
3,rue de,la feuillade,Paris
1,rue de,la vrilliere,Paris
2,rue de,la vrilliere,Paris
3,rue de,la vrilliere,Paris
1,place,malesherbes,Paris
2,rue,marsollier,Paris
9,rue,marsollier,Paris
6,rue,méhul,Paris
166,boulevard,pereire,Paris
168,boulevard,pereire,Paris
170,boulevard,pereire,Paris
2,rue,abel-truchet,Paris
1,rue des,petits-champs,Paris
2,rue,radziwill,Paris
9,rue,radziwill,Paris
37,rue,radziwill,Paris
,,,Paris
48,rue des,solitaires,Paris
50,rue des,solitaires,Paris
52,rue des,solitaires,Paris
54,rue des,solitaires,Paris
2,rue,beauregard,Paris
3,rue de l',abbaye,Paris
5,rue de l',abbaye,Paris
7,rue de l',abbaye,Paris
9,rue de l',abbaye,Paris
11,rue de l',abbaye,Paris
29,rue de,sevres,Paris
31,rue de,sevres,Paris
33,boulevard du,temple,Paris
35,boulevard du,temple,Paris
37,boulevard du,temple,Paris
39,boulevard du,temple,Paris
41,boulevard du,temple,Paris
16,rue de,thann,Paris
18,rue de,thann,Paris
